accuracy,loss,val_accuracy,val_loss
0.6079497337341309,0.6759599447250366,0.7231820821762085,0.5463724136352539
0.69921875,0.594139814376831,1.0,0.5325860977172852
0.7041433453559875,0.5587078928947449,0.7544320821762085,0.4984065294265747
0.74609375,0.5124514102935791,0.0,0.8551222085952759
0.7384315133094788,0.5192666053771973,0.778395414352417,0.46955639123916626
1.0,0.1206730455160141,1.0,0.2287287563085556
0.7500957250595093,0.4955766797065735,0.7853065133094788,0.45556384325027466
0.75,0.4813455641269684,1.0,0.4446616470813751
0.7606647610664368,0.480440229177475,0.7914663553237915,0.4477050006389618
0.77734375,0.46813082695007324,1.0,0.13958194851875305
0.7651834487915039,0.4738536775112152,0.794846773147583,0.4384072422981262
0.765625,0.45464038848876953,1.0,0.03774609416723251
0.7732250690460205,0.46055883169174194,0.797776460647583,0.43109339475631714
0.79296875,0.44153332710266113,1.0,0.02398068644106388
0.783028244972229,0.45457643270492554,0.8013070821762085,0.42729759216308594
0.78515625,0.4713324308395386,1.0,0.2650471329689026
0.7837175726890564,0.44974297285079956,0.7992788553237915,0.4255984425544739
0.76171875,0.48254233598709106,1.0,0.3155643343925476
0.7866278886795044,0.44642749428749084,0.8040114045143127,0.42060500383377075
0.765625,0.4414524435997009,1.0,0.13292428851127625
0.7918357849121094,0.4371345043182373,0.8050631284713745,0.4170454442501068
0.78125,0.39869382977485657,1.0,0.20321379601955414
0.7958949208259583,0.4352104365825653,0.8062649965286255,0.414022296667099
0.87109375,0.32545071840286255,1.0,0.4746033251285553
0.7988052368164062,0.42642074823379517,0.807692289352417,0.41469401121139526
0.76953125,0.46823862195014954,1.0,0.08260458707809448
0.7972735166549683,0.4259650409221649,0.807542085647583,0.4136638343334198
0.78125,0.44301486015319824,1.0,0.5402519106864929
0.8007965087890625,0.4188597798347473,0.8097205758094788,0.40781480073928833
